month,region,channel,product_category,orders,units,revenue,gross_profit,new_customers,refund_amount
2025-01,East,Search,Electronics,120,265,158000,51200,38,4200
2025-01,East,Social,Home,92,210,121500,34800,29,3900
2025-01,North,Search,Electronics,108,238,145600,46800,34,3600
2025-01,North,Affiliate,Fashion,86,194,112400,30100,24,4100
2025-01,South,Social,Beauty,95,226,118900,33200,31,5200
2025-01,West,Affiliate,Home,79,181,104300,28700,21,3300
2025-02,East,Search,Electronics,128,281,166500,53800,41,4350
2025-02,East,Social,Home,97,219,126800,36200,30,4010
2025-02,North,Search,Electronics,112,247,149200,47900,35,3720
2025-02,North,Affiliate,Fashion,89,203,115700,31250,25,4250
2025-02,South,Social,Beauty,101,238,124600,34900,33,5480
2025-02,West,Affiliate,Home,82,188,108900,29500,22,3410
2025-03,East,Search,Electronics,136,295,174800,56400,44,4480
2025-03,East,Social,Home,104,234,132400,37750,32,4180
2025-03,North,Search,Electronics,118,259,155100,49820,37,3890
2025-03,North,Affiliate,Fashion,93,214,121300,32600,27,4360
2025-03,South,Social,Beauty,108,249,129800,36540,34,5720
2025-03,West,Affiliate,Home,87,196,113500,30820,23,3550
2025-04,East,Search,Electronics,142,308,181600,58700,47,4620
2025-04,East,Social,Home,110,246,138200,39210,34,4320
2025-04,North,Search,Electronics,123,268,160900,51600,38,4010
2025-04,North,Affiliate,Fashion,97,221,126500,33920,28,4470
2025-04,South,Social,Beauty,112,258,134700,37880,35,5880
2025-04,West,Affiliate,Home,91,205,118400,32150,24,3620
