month,channel,spend,signups,sqls,demos,wins,new_arr,cac_payback_months
2025-01,Search,42000,1860,420,188,42,168000,9.4
2025-01,Content,18000,980,210,96,25,86000,7.1
2025-01,Partner,26000,430,168,84,23,112000,5.8
2025-02,Search,43800,1940,446,196,45,179000,9.1
2025-02,Content,19200,1030,224,101,27,92400,6.9
2025-02,Partner,27100,455,175,88,24,118500,5.7
2025-03,Search,45200,2010,468,205,47,188000,8.9
2025-03,Content,20500,1090,236,108,29,99200,6.6
2025-03,Partner,28400,472,182,92,25,124000,5.6
2025-04,Search,46900,2080,489,214,49,196500,8.7
2025-04,Content,21400,1150,244,112,30,103000,6.5
2025-04,Partner,29600,495,190,95,27,132000,5.4
