date,region,channel,category,product_id,orders,units,gmv,discount,refund_amount,new_customers,returning_customers,avg_session_seconds,impressions,clicks,ctr
2024-01-01,华东,天猫,食品生鲜,食品生鲜-SKU004,20,23,1202.12,268.13,8.36,4,16,60,100,20,0.2
2024-01-01,华东,线下门店,美妆个护,美妆个护-SKU007,11,16,893.84,1.45,57.62,3,8,378,121,11,0.0909
2024-01-01,华北,天猫,家用电器,家用电器-SKU007,18,24,1358.48,274.12,79.31,4,14,417,90,18,0.2
2024-01-01,华中,美团,家居家装,家居家装-SKU004,54,67,6921.14,500.72,44.18,9,45,133,810,54,0.0667
2024-01-01,华北,京东,家居家装,家居家装-SKU006,18,17,3841.74,622.4,187.21,2,16,280,144,18,0.125
2024-01-01,西北,小程序,美妆个护,美妆个护-SKU006,53,54,4851.23,38.93,122.43,9,44,246,1113,147,0.1321
2024-01-01,西北,拼多多,母婴玩具,母婴玩具-SKU008,22,32,3758.76,506.47,224.63,5,17,438,308,22,0.0714
2024-01-01,华中,拼多多,家用电器,家用电器-SKU001,58,68,8082.48,1374.99,385.64,12,46,509,1102,58,0.0526
2024-01-01,华东,小程序,家用电器,家用电器-SKU005,41,47,6073.46,240.14,1.58,12,29,299,779,90,0.1155
2024-01-01,华东,美团,食品生鲜,食品生鲜-SKU004,18,26,1266.27,246.49,53.73,1,17,361,324,18,0.0556
2024-01-01,东北,美团,食品生鲜,食品生鲜-SKU004,19,23,1002.5,21.47,38.98,2,17,575,513,19,0.037
2024-01-02,华南,抖音,母婴玩具,母婴玩具-SKU004,57,63,3353.05,597.64,107.03,17,40,412,969,131,0.1352
2024-01-02,华南,京东,家用电器,家用电器-SKU006,6,5,613.71,1.1,34.75,0,6,99,24,6,0.25
2024-01-02,华南,抖音,运动户外,运动户外-SKU004,33,41,1267.15,182.54,24.63,7,26,446,297,33,0.1111
2024-01-02,华北,拼多多,母婴玩具,母婴玩具-SKU008,75,88,10458.03,1689.44,50.71,23,52,141,750,75,0.1
2024-01-02,华南,拼多多,服饰鞋包,服饰鞋包-SKU005,36,31,3915.56,790.96,268.13,4,32,583,1044,36,0.0345
2024-01-02,东北,美团,美妆个护,美妆个护-SKU003,12,16,1552.18,350.19,20.44,1,11,429,132,18,0.1364
2024-01-02,华北,拼多多,运动户外,运动户外-SKU003,20,28,2672.04,491.48,13.03,3,17,81,420,32,0.0762
2024-01-02,华中,京东,手机数码,手机数码-SKU002,58,71,7323.27,1577.83,236.56,22,36,282,1218,113,0.0928
2024-01-02,西南,小程序,家居家装,家居家装-SKU005,19,15,1731.34,171.31,93.03,3,16,353,513,72,0.1404
2024-01-02,华中,线下门店,家用电器,家用电器-SKU002,31,36,3695.56,322.45,20.34,5,26,321,248,31,0.125
2024-01-03,华中,美团,手机数码,手机数码-SKU005,85,80,14426.42,953.82,1026.83,27,58,189,935,85,0.0909
2024-01-03,华北,京东,食品生鲜,食品生鲜-SKU008,24,35,2710.88,429.87,179.86,2,22,371,648,24,0.037
2024-01-03,华南,小程序,运动户外,运动户外-SKU007,59,64,10755.05,1857.99,128.25,6,53,408,1239,108,0.0872
2024-01-03,华东,抖音,家居家装,家居家装-SKU001,58,83,8662.85,222.62,540.64,21,37,446,1276,146,0.1144
2024-01-03,华南,美团,服饰鞋包,服饰鞋包-SKU003,81,104,10540.85,875.38,784.93,27,54,284,891,81,0.0909
2024-01-03,西南,美团,手机数码,手机数码-SKU008,24,24,1905.76,145.41,121.26,4,20,54,576,24,0.0417
2024-01-03,东北,天猫,食品生鲜,食品生鲜-SKU006,13,19,2423.78,324.92,182.12,1,12,297,104,13,0.125
2024-01-03,华东,天猫,母婴玩具,母婴玩具-SKU006,39,31,6641.57,849.16,204.66,10,29,290,156,39,0.25
