month,region,product_category,category_rank,revenue,units_sold,gross_margin_pct,marketing_spend,discount_amount,return_amount,new_product_flag
2023-01,华东,智能家电,1,359543.0,419,0.351,52400.0,31521.0,19634.0,0
2023-01,华南,智能家电,1,312758.0,357,0.464,16717.0,12474.0,13290.0,0
2023-01,华北,智能家电,1,320883.0,438,0.265,49659.0,28820.0,8668.0,0
2023-01,西南,智能家电,1,302750.0,332,0.301,48493.0,24333.0,15245.0,0
2023-01,华中,智能家电,1,299432.0,360,0.483,47257.0,24509.0,15895.0,0
2023-01,西北,智能家电,1,237203.0,272,0.378,14321.0,10266.0,3570.0,0
2023-01,东北,智能家电,1,231789.0,278,0.346,19634.0,26346.0,9828.0,0
2023-01,港澳台,智能家电,1,192318.0,216,0.414,34355.0,16155.0,7279.0,0
2023-01,海外亚太,智能家电,1,173095.0,198,0.275,15753.0,8096.0,3557.0,0
2023-01,海外欧美,智能家电,1,138926.0,181,0.42,23463.0,9153.0,3229.0,0
2023-01,华东,消费电子,2,338153.0,577,0.609,34465.0,14179.0,20248.0,0
2023-01,华南,消费电子,2,268611.0,395,0.501,41090.0,16712.0,3539.0,0
2023-01,华北,消费电子,2,324692.0,617,0.594,16719.0,29895.0,14314.0,0
2023-01,西南,消费电子,2,260808.0,384,0.424,28424.0,30092.0,14030.0,0
2023-01,华中,消费电子,2,230258.0,431,0.598,20446.0,19317.0,9314.0,0
2023-01,西北,消费电子,2,240077.0,433,0.462,12022.0,12584.0,2635.0,0
2023-01,东北,消费电子,2,238701.0,374,0.273,39181.0,27378.0,3409.0,0
2023-01,港澳台,消费电子,2,171993.0,309,0.301,19227.0,12896.0,3999.0,0
2023-01,海外亚太,消费电子,2,130844.0,220,0.542,9964.0,6696.0,7819.0,0
2023-01,海外欧美,消费电子,2,122218.0,180,0.34,11483.0,9635.0,2628.0,0
2023-01,华东,家居日用,3,309125.0,1419,0.652,50002.0,8373.0,6770.0,0
2023-01,华南,家居日用,3,257439.0,1455,0.518,28691.0,25348.0,12968.0,0
2023-01,华北,家居日用,3,253654.0,1239,0.477,36724.0,22153.0,15018.0,0
2023-01,西南,家居日用,3,231298.0,1281,0.389,17284.0,15002.0,7192.0,0
2023-01,华中,家居日用,3,235837.0,1159,0.635,28664.0,5910.0,14142.0,0
2023-01,西北,家居日用,3,245751.0,1357,0.357,27803.0,10168.0,7385.0,1
2023-01,东北,家居日用,3,208922.0,971,0.604,22804.0,13016.0,12089.0,0
2023-01,港澳台,家居日用,3,170474.0,764,0.409,29992.0,13283.0,6326.0,0
2023-01,海外亚太,家居日用,3,122224.0,611,0.631,8613.0,14188.0,1712.0,0
2023-01,海外欧美,家居日用,3,119091.0,548,0.338,19738.0,5314.0,4731.0,0
2023-01,华东,服装鞋帽,4,259885.0,2180,0.684,19895.0,23810.0,5700.0,0
2023-01,华南,服装鞋帽,4,230006.0,1811,0.611,13669.0,15141.0,13783.0,0
2023-01,华北,服装鞋帽,4,193160.0,1496,0.683,31777.0,20847.0,5500.0,0
2023-01,西南,服装鞋帽,4,213098.0,1835,0.705,28772.0,4429.0,10837.0,0
2023-01,华中,服装鞋帽,4,202441.0,1501,0.356,12939.0,15248.0,4781.0,0
2023-01,西北,服装鞋帽,4,163959.0,1421,0.416,18611.0,18123.0,8576.0,0
2023-01,东北,服装鞋帽,4,146619.0,1039,0.618,19475.0,6773.0,6900.0,0
2023-01,港澳台,服装鞋帽,4,115431.0,839,0.663,19336.0,8606.0,5971.0,0
2023-01,海外亚太,服装鞋帽,4,90409.0,710,0.67,13877.0,9590.0,4968.0,0
2023-01,海外欧美,服装鞋帽,4,80059.0,723,0.664,8232.0,6570.0,1419.0,0
2023-01,华东,美妆护肤,5,343359.0,4170,0.703,18274.0,32158.0,9137.0,0
2023-01,华南,美妆护肤,5,299805.0,3641,0.457,45678.0,9237.0,16072.0,0
2023-01,华北,美妆护肤,5,255489.0,2804,0.472,39191.0,10925.0,2857.0,0
2023-01,西南,美妆护肤,5,231544.0,2933,0.462,30886.0,13885.0,13674.0,0
2023-01,华中,美妆护肤,5,204883.0,2597,0.421,35881.0,9537.0,3159.0,0
2023-01,西北,美妆护肤,5,192095.0,2202,0.555,19224.0,14918.0,4367.0,0
2023-01,东北,美妆护肤,5,177144.0,1990,0.638,25943.0,15423.0,4997.0,1
2023-01,港澳台,美妆护肤,5,146782.0,1539,0.689,21073.0,7344.0,3738.0,0
2023-01,海外亚太,美妆护肤,5,111764.0,1102,0.518,19251.0,9805.0,6163.0,0
2023-01,海外欧美,美妆护肤,5,101217.0,956,0.465,10717.0,7895.0,4326.0,0
2023-01,华东,食品饮料,6,250518.0,4970,0.63,38450.0,9261.0,3567.0,0
2023-01,华南,食品饮料,6,238500.0,5225,0.57,32785.0,10128.0,4760.0,1
2023-01,华北,食品饮料,6,217491.0,4806,0.299,22592.0,18047.0,4289.0,0
2023-01,西南,食品饮料,6,190712.0,3992,0.272,28154.0,18500.0,2923.0,0
2023-01,华中,食品饮料,6,194201.0,3904,0.29,16001.0,20359.0,6374.0,0
2023-01,西北,食品饮料,6,196577.0,4044,0.65,32609.0,15975.0,9035.0,0
2023-01,东北,食品饮料,6,171201.0,3832,0.567,19124.0,7861.0,3828.0,0
2023-01,港澳台,食品饮料,6,140502.0,2916,0.38,8440.0,6825.0,3314.0,0
2023-01,海外亚太,食品饮料,6,100188.0,1842,0.548,14210.0,2647.0,3044.0,0
2023-01,海外欧美,食品饮料,6,87175.0,1701,0.632,10978.0,7807.0,4606.0,0
2023-01,华东,母婴用品,7,204355.0,1301,0.579,32891.0,23571.0,6325.0,0
2023-01,华南,母婴用品,7,214012.0,1307,0.366,22826.0,4901.0,5737.0,0
2023-01,华北,母婴用品,7,180549.0,1191,0.329,23633.0,4098.0,5362.0,0
2023-01,西南,母婴用品,7,164709.0,978,0.463,9312.0,9538.0,3390.0,0
2023-01,华中,母婴用品,7,164653.0,1180,0.611,13632.0,4642.0,1806.0,0
2023-01,西北,母婴用品,7,157622.0,1098,0.59,21236.0,15041.0,9060.0,0
2023-01,东北,母婴用品,7,119062.0,704,0.546,14682.0,4976.0,5355.0,0
2023-01,港澳台,母婴用品,7,111743.0,800,0.324,17489.0,13015.0,1721.0,1
2023-01,海外亚太,母婴用品,7,92860.0,704,0.437,13275.0,2563.0,4135.0,0
2023-01,海外欧美,母婴用品,7,79838.0,588,0.518,5248.0,9452.0,3923.0,0
2023-01,华东,运动户外,8,195930.0,892,0.438,31436.0,20031.0,2993.0,0
2023-01,华南,运动户外,8,199482.0,963,0.476,29003.0,23249.0,4689.0,0
2023-01,华北,运动户外,8,173471.0,773,0.594,14726.0,18244.0,8940.0,0
2023-01,西南,运动户外,8,153768.0,691,0.546,15264.0,3517.0,8080.0,0
2023-01,华中,运动户外,8,143889.0,622,0.654,20310.0,6853.0,1512.0,0
2023-01,西北,运动户外,8,128817.0,583,0.605,18006.0,10897.0,4449.0,0
2023-01,东北,运动户外,8,107692.0,517,0.424,13526.0,7250.0,3936.0,0
2023-01,港澳台,运动户外,8,102227.0,492,0.41,8452.0,3278.0,2007.0,0
2023-01,海外亚太,运动户外,8,86167.0,354,0.389,9732.0,7967.0,5069.0,0
2023-01,海外欧美,运动户外,8,63228.0,261,0.393,4636.0,1354.0,2321.0,0
2023-01,华东,图书文娱,9,181219.0,4798,0.381,29521.0,12520.0,9720.0,0
2023-01,华南,图书文娱,9,147331.0,3334,0.351,25391.0,9985.0,7529.0,0
2023-01,华北,图书文娱,9,135161.0,2926,0.39,16648.0,6810.0,8069.0,0
2023-01,西南,图书文娱,9,132999.0,3614,0.42,15685.0,8652.0,4274.0,0
2023-01,华中,图书文娱,9,120915.0,3132,0.574,17679.0,13876.0,2465.0,0
2023-01,西北,图书文娱,9,103424.0,2332,0.36,5207.0,6728.0,4105.0,0
2023-01,东北,图书文娱,9,99505.0,2639,0.512,13867.0,11183.0,4915.0,0
2023-01,港澳台,图书文娱,9,92835.0,2268,0.548,12458.0,10290.0,4765.0,1
2023-01,海外亚太,图书文娱,9,60568.0,1627,0.558,5301.0,1965.0,2691.0,0
2023-01,海外欧美,图书文娱,9,62464.0,1558,0.362,3447.0,3948.0,1631.0,0
2023-01,华东,汽车用品,10,141523.0,519,0.468,24569.0,16977.0,6172.0,0
