month,department,location,headcount,avg_salary,avg_tenure_years,attrition_count,new_hires,promotion_count,training_days,overtime_hours,revenue_per_employee,cost_per_employee,engagement_score,span_of_control
2023-01,研发中心,北京,107,20254.0,8.5,7,5,9,9,646,1861800.0,368543.0,4.5,35.7
2023-01,研发中心,上海,105,27017.0,2.5,7,7,4,26,801,1242019.0,472880.0,3.7,7.0
2023-01,研发中心,深圳,96,28582.0,5.6,3,1,4,5,649,1635141.0,585952.0,3.8,6.9
2023-01,研发中心,杭州,80,30540.0,3.1,0,4,4,22,441,2467944.0,517467.0,3.9,4.7
2023-01,研发中心,成都,60,21145.0,4.4,4,7,3,39,319,1748858.0,336596.0,3.5,30.0
2023-01,研发中心,武汉,47,12778.0,7.7,0,0,5,6,372,1095261.0,246514.0,2.5,9.4
2023-01,研发中心,广州,64,21305.0,3.2,4,3,6,39,15,739643.0,330584.0,3.3,7.1
2023-01,研发中心,南京,43,10400.0,8.4,1,2,3,36,148,437082.0,203048.0,4.4,8.6
2023-01,研发中心,西安,37,11379.0,6.5,2,3,1,8,287,417276.0,203785.0,2.7,5.3
2023-01,研发中心,新加坡,26,3191.0,1.6,1,2,0,25,126,59386.0,61574.0,4.7,3.7
2023-01,研发中心,东京,21,3442.0,5.8,1,5,2,21,97,246873.0,56603.0,4.7,7.0
2023-01,研发中心,伦敦,18,3906.0,7.6,0,0,1,0,28,230850.0,64370.0,3.4,18.0
2023-01,产品设计,北京,44,41236.0,5.0,1,3,3,27,248,3658398.0,819523.0,3.8,4.4
2023-01,产品设计,上海,42,17391.0,7.1,1,3,3,36,166,1440221.0,325640.0,2.9,10.5
2023-01,产品设计,深圳,37,26808.0,1.8,1,4,3,21,81,2414160.0,544206.0,3.7,4.1
2023-01,产品设计,杭州,32,30603.0,1.8,1,3,3,24,80,1573799.0,540529.0,2.8,16.0
2023-01,产品设计,成都,24,11851.0,3.6,0,4,1,20,18,922781.0,247100.0,3.6,24.0
2023-01,产品设计,武汉,19,9721.0,5.6,0,0,2,3,144,899409.0,173585.0,3.8,9.5
2023-01,产品设计,广州,19,21394.0,4.1,0,0,0,20,147,1178407.0,425208.0,2.9,6.3
2023-01,产品设计,南京,13,4435.0,3.2,0,1,0,38,21,245737.0,81034.0,2.6,4.3
2023-01,产品设计,西安,17,10906.0,4.4,0,0,1,32,8,429897.0,228540.0,3.0,5.7
2023-01,产品设计,新加坡,13,1637.0,7.3,0,1,0,15,47,130920.0,31249.0,3.5,4.3
2023-01,产品设计,东京,10,1779.0,3.7,0,4,1,22,31,113305.0,38511.0,2.6,5.0
2023-01,产品设计,伦敦,8,4760.0,8.0,0,4,0,8,63,136186.0,94266.0,4.4,4.0
2023-01,销售业务,北京,74,31090.0,1.7,3,3,6,22,418,1637414.0,615139.0,4.2,4.4
2023-01,销售业务,上海,71,33536.0,2.4,1,4,8,13,251,2855585.0,674578.0,3.6,6.5
2023-01,销售业务,深圳,67,11164.0,7.9,2,6,3,38,379,547235.0,222046.0,3.2,5.2
2023-01,销售业务,杭州,48,17147.0,5.6,3,8,4,5,341,1353577.0,331589.0,3.9,24.0
2023-01,销售业务,成都,41,5196.0,4.7,1,1,3,17,153,132426.0,91178.0,4.5,6.8
