date,platform,channel,user_segment,dau,new_users,session_count,avg_session_duration,page_views,bounce_rate,conversion_rate,gmv,orders,aov,retention_d1,retention_d7
2025-01-01,Android,异业合作,新用户,346,82,559,358.7,5436,0.491,0.0293,4903.8,10,490.38,0.331,0.123
2025-01-01,Android,短信复购,高价值VIP,518,31,963,224.3,6143,0.384,0.0495,12475.5,25,499.02,0.291,0.1
2025-01-01,Android,短信复购,流失预警,96,26,285,362.4,3133,0.613,0.0639,676.38,6,112.73,0.354,0.093
2025-01-01,快应用,信息流广告,活跃用户,1923,505,6442,740.1,65443,0.24,0.0338,28899.2,64,451.55,0.309,0.204
2025-01-01,快应用,社交分享,流失预警,66,6,192,81.1,1935,0.235,0.0457,1131.0,3,377.0,0.216,0.129
2025-01-01,快应用,自然增长,流失预警,103,18,239,470.5,1924,0.542,0.0229,196.82,2,98.41,0.349,0.184
2025-01-01,快应用,短信复购,活跃用户,1797,214,3263,446.2,17141,0.255,0.0768,38645.52,138,280.04,0.239,0.1
2025-01-01,快应用,短信复购,高价值VIP,364,19,830,176.5,1865,0.538,0.0564,7723.2,20,386.16,0.36,0.249
2025-01-01,快应用,短信复购,沉默召回,113,31,195,660.6,1786,0.526,0.0626,1156.96,7,165.28,0.138,0.061
2025-01-01,快应用,异业合作,活跃用户,2078,408,4453,757.4,28529,0.549,0.0138,10690.96,28,381.82,0.116,0.211
2025-01-01,Web,自然增长,流失预警,92,21,291,114.2,2030,0.4,0.043,106.47,3,35.49,0.424,0.105
2025-01-01,Web,自然增长,新用户,381,64,795,866.6,6053,0.496,0.0703,2562.82,26,98.57,0.252,0.17
2025-01-01,Web,EDM,流失预警,69,8,251,635.9,2476,0.637,0.0117,0.0,0,182.63,0.114,0.156
2025-01-01,Web,EDM,活跃用户,2932,383,6384,88.6,31358,0.344,0.0101,13089.73,29,451.37,0.415,0.167
2025-01-01,Web,短信复购,活跃用户,2411,554,9372,308.5,56773,0.392,0.0435,26110.24,104,251.06,0.366,0.136
2025-01-01,Web,异业合作,流失预警,62,3,103,410.2,763,0.588,0.0756,989.68,4,247.42,0.199,0.077
2025-01-01,Web,KOL推荐,高价值VIP,448,101,905,512.3,2625,0.159,0.0077,1049.16,3,349.72,0.484,0.227
2025-01-01,Web,KOL推荐,新用户,368,108,1142,370.1,3598,0.317,0.0764,9308.6,28,332.45,0.341,0.185
2025-01-01,小程序,EDM,高价值VIP,399,57,1514,32.9,16994,0.339,0.0071,119.74,2,59.87,0.274,0.187
2025-01-01,小程序,异业合作,新用户,301,20,734,490.4,2955,0.224,0.0572,3953.69,17,232.57,0.177,0.136
2025-01-01,小程序,异业合作,沉默召回,139,10,332,613.0,2501,0.431,0.0469,2647.02,6,441.17,0.484,0.213
2025-01-01,小程序,异业合作,流失预警,70,15,172,95.1,927,0.292,0.0618,1360.76,4,340.19,0.387,0.225
2025-01-01,iOS,短信复购,活跃用户,1871,398,5730,238.9,57584,0.423,0.0205,1945.6,38,51.2,0.255,0.209
2025-01-01,iOS,短信复购,新用户,326,82,1140,542.8,9143,0.632,0.0319,2467.0,10,246.7,0.287,0.244
2025-01-01,iOS,短信复购,流失预警,73,20,245,840.9,2735,0.472,0.0066,0.0,0,307.44,0.223,0.078
2025-01-01,iOS,付费搜索,活跃用户,2663,314,4035,460.9,18649,0.299,0.011,14226.24,29,490.56,0.476,0.237
2025-01-01,iOS,付费搜索,沉默召回,151,40,322,307.8,1145,0.609,0.0667,1821.5,10,182.15,0.483,0.174
2025-01-01,iOS,信息流广告,活跃用户,2514,752,9565,255.6,104517,0.526,0.0602,15026.01,151,99.51,0.452,0.156
2025-01-01,iOS,信息流广告,高价值VIP,383,29,776,195.1,6614,0.155,0.0371,5730.9,14,409.35,0.351,0.095
2025-01-01,iOS,SEO,新用户,330,74,901,849.5,8077,0.584,0.0365,4403.76,12,366.98,0.348,0.152
2025-01-01,iOS,自然增长,新用户,366,84,709,834.1,1959,0.209,0.0128,1221.32,4,305.33,0.478,0.16
2025-01-01,iOS,自然增长,活跃用户,2743,170,7420,525.9,80512,0.253,0.0501,57107.08,137,416.84,0.175,0.211
2025-01-01,iOS,自然增长,沉默召回,159,33,479,849.1,4846,0.561,0.0066,38.4,1,38.4,0.403,0.231
2025-01-01,iOS,线下地推,高价值VIP,415,88,1311,470.6,4172,0.21,0.0227,3503.52,9,389.28,0.469,0.179
2025-01-02,Android,异业合作,新用户,310,59,603,276.8,2781,0.229,0.02,1151.16,6,191.86,0.33,0.194
2025-01-02,Android,异业合作,流失预警,86,12,239,54.6,2212,0.54,0.0189,393.08,1,393.08,0.112,0.079
2025-01-02,Android,异业合作,活跃用户,1810,309,4401,885.8,43836,0.614,0.0745,44356.68,134,331.02,0.322,0.16
2025-01-02,Android,SEO,沉默召回,146,27,419,769.5,1705,0.351,0.0536,2206.4,7,315.2,0.143,0.229
2025-01-02,Android,短信复购,沉默召回,142,25,549,267.6,5381,0.567,0.0454,891.06,6,148.51,0.236,0.105
2025-01-02,Android,短信复购,流失预警,67,10,237,763.2,2019,0.236,0.0362,264.76,2,132.38,0.238,0.139
2025-01-02,Android,EDM,新用户,274,70,817,384.9,2343,0.502,0.0279,1604.68,7,229.24,0.249,0.183
2025-01-02,Android,EDM,高价值VIP,504,32,1629,726.7,14860,0.385,0.0087,201.32,4,50.33,0.147,0.101
